repository,name,path,roles,use_case,inputs_summary,outputs_summary,readiness,license,license_path,copied,runtime_installed,legal_accuracy_validated,integration_notes,source_url,sha256
lq-skills,skill-creator,skills/skill-creator/SKILL.md,Knowledge lawyers; practice leads; operations,Guided workflow authoring,"Practitioner task, triggers, inputs, outputs, criteria, examples and edge cases",Draft skill folder with references/examples for practitioner review,Meta-prompt template,Apache-2.0,LICENSE,False,False,False,"Core frontmatter lacks lq_ai version/author fields. Use explicit versions, approval state and evaluation fixtures; do not invent substantive legal criteria.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/skill-creator/SKILL.md,54e691bbfb3720873f104ae8518e22021824a08380c4cd4e3fbb921d4b9cb643
lq-skills,statutory-analysis,skills/statutory-analysis/SKILL.md,Research attorneys; junior associates; paralegals,Source-first statutory analysis,"Exact US citation, full authoritative text, jurisdiction, version date and purpose","Definitions, operators, exceptions, cross-references and draft analysis",Legal-analysis prompt framework,Apache-2.0,LICENSE,True,False,False,Doctrinal summaries are not current-law validation. Automatic privilege labels and categorical interpretive heuristics need counsel-approved handling. It does not supply a statute corpus or resolver.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/statutory-analysis/SKILL.md,94f17e5e64997e25761cf352eb8bc8db60af12c7d1d221bc9cee802079beca5d
lq-skills,superdoc-redlines,skills/superdoc-redlines/SKILL.md,Document automation developers,Stable-block edit and conflict recipe,Structured block IDs and agent edit operations,Deterministic revision/conflict proposals,External-library recipe,Apache-2.0,LICENSE,False,False,False,No Superdoc implementation/license bundled. Stable IDs are a valuable design pattern; external dependency approval and layout/round-trip tests remain separate.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/superdoc-redlines/SKILL.md,d2e7e41e321e9177ec8755cbe87430c78e20c63263c80c1d722f4c2ddee382c6
lq-skills,text-provenance,skills/text-provenance/SKILL.md,Retrieval and citation engineers,Lexical source candidate ranking,Text and authorized source corpus,Candidate passages with similarity scores,External-library recipe,Apache-2.0,LICENSE,False,False,False,No library implementation is shipped. Similarity score is not proof of attribution or claim support; do not adopt its numeric confidence thresholds uncalibrated.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/text-provenance/SKILL.md,df06a98add23f648f90fa1f252c265c8f41e00b8ba9750232986d8cee81e71fa
lq-skills,uk-citation-verification,skills/uk-citation-verification/SKILL.md,UK research lawyers; adapted US research teams,Authority existence and pinpoint checks,Citations and official/recognized source access or supplied text,"Verified, mismatched or unverified authority queue with evidence",Jurisdiction-specific prompt template,Apache-2.0,skills/uk-citation-verification/LICENSE,True,False,False,England/UK source routing; US version must replace sources and citation parser. Does not determine treatment or whether a holding supports the proposition.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/uk-citation-verification/SKILL.md,8565a84c614ef5ed3d38435a81ca520c2fc4c5c73cc6bfd472f49eb883bc392a
lq-skills,uk-court-of-appeal-judicial-preference-check,skills/uk-court-of-appeal-judicial-preference-check/SKILL.md,Appellate advocates; knowledge lawyers,Source-based advocacy style review,"Draft, court/case context and representative public decisions",Court/case-type/judge-scoped signals with examples and mismatch suggestions,Jurisdiction-specific research template,Apache-2.0,skills/uk-court-of-appeal-judicial-preference-check/LICENSE,True,False,False,"Treat as observed writing/reasoning signals, not judge personality or outcome prediction. Require representative sampling, current practices and clear single-source limits.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/uk-court-of-appeal-judicial-preference-check/SKILL.md,d9297bc9bc6d984fd756c0ca735050b87e1200bb541c2f90cf29c8999f12f0fd
lq-skills,uk-disclosure-list-review,skills/uk-disclosure-list-review/SKILL.md,Discovery lawyers; litigation support,Production coverage and privilege QC,"Disclosure list, issues, custodian/repository/search record and governing order","Coverage gaps, absent referenced documents, inspection and privilege review flags",Jurisdiction-specific prompt template,Apache-2.0,skills/uk-disclosure-list-review/LICENSE,True,False,False,"Strong coverage matrix pattern. US adaptation must use actual discovery orders/protocols and privilege rules, not CPR categories; cannot infer searches never supplied.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/uk-disclosure-list-review/SKILL.md,883244657300dd59f0d004404a770eb5c4cb434e986bfc5f0f9f817df96f94bd
lq-skills,uk-particulars-of-claim-review,skills/uk-particulars-of-claim-review/SKILL.md,Litigators; pleading teams,Claim-element and pleading gap map,"Draft pleading, governing context, sources and current rules","Element/fact/source map, structure issues and draft review queue",Jurisdiction-specific prompt template,Apache-2.0,skills/uk-particulars-of-claim-review/LICENSE,True,False,False,Useful structure only for US complaints; replace CPR/PD16 and verify each cause of action. No viability or timeliness certification.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/uk-particulars-of-claim-review/SKILL.md,120fdc0be9bf0c19e24f81781e062cdd14ae3807677136cd3fdc8b2c537f50f3
lq-skills,uk-witness-statement-review,skills/uk-witness-statement-review/SKILL.md,Litigators; deposition and trial teams,Witness assertion and source map,"Witness statement, exhibits, prior accounts, orders and procedural purpose","Paragraph classifications, support/conflicts, exhibit links and review questions",Jurisdiction-specific prompt template,Apache-2.0,skills/uk-witness-statement-review/LICENSE,True,False,False,"Do not apply PD57AC/CPR to US depositions. Preserve testimony and page:line anchors; flag competence, speculation and conflicts without rewriting witness evidence.",https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/uk-witness-statement-review/SKILL.md,6797c07e59c93047dcd8c72d18f0f09124735018e5b74bedac293e2ca6660579
lq-skills,us-state-privacy-navigator,skills/us-state-privacy-navigator/SKILL.md,Privacy counsel,State privacy applicability and gap analysis,"Business/data facts, state exposure, statutes and current-source checks","Applicability, gap prioritization, source audit and DOCX memo",Executable domain scaffold plus static legal references,Apache-2.0,LICENSE,False,False,False,Not imported as authoritative law. It directs use of reference files as ground truth; hard-coded thresholds/corpus need current primary-source confirmation. Citation auditor skips bullets/tables and does not verify existence or support.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/us-state-privacy-navigator/SKILL.md,d48882fbfc1960e3ad7725f7ddf6233ba37d10b90afd47edf96ad709e8ff4ecb
lq-skills,vendor-privacy-policy-first-pass,skills/vendor-privacy-policy-first-pass/SKILL.md,Privacy counsel; procurement,Privacy-notice triage,"Provided policy text; optional vendor context, regimes and data to share","Short practice summary, cited flags and follow-up questions",Prompt template,Apache-2.0,LICENSE,False,False,False,No browser tool is declared. No security verification. Policy age/length and AI-use severity heuristics must be calibrated rather than treated as legal truth.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/vendor-privacy-policy-first-pass/SKILL.md,f0c1d380fd602aab9e679129ba77a4f97c7240f83584e7528266305f6a1baa8a
lq-skills,vibe-legal-batch-redliner,skills/vibe-legal-batch-redliner/SKILL.md,Contract technology developers,Batch redline server recipe,Copies of short simple contracts and approved playbook,Draft redlines,External application recipe; research software,Apache-2.0,LICENSE,False,False,False,Not selected: explicit lack of deterministic validation/rollback and unreliable tables/complex numbering; no source application in this skill folder.,https://github.com/LegalQuants/lq-skills/blob/a293659770c6d9094e3f9893a0de6e59475e95b6/skills/vibe-legal-batch-redliner/SKILL.md,432b2405f392d602996af51e922a740a943eadf513ec8132094aa5ebcab0424d
